category,tnd_billion,share_percent,source
Wages,23.2811,39.8,"Ministry of Finance, provisional 2025 budget execution"
Transfers and interventions,20.1517,34.5,"Ministry of Finance, provisional 2025 budget execution"
Interest,6.4585,11.0,"Ministry of Finance, provisional 2025 budget execution"
Investment,5.7295,9.8,"Ministry of Finance, provisional 2025 budget execution"
Goods and services,2.8086,4.8,"Ministry of Finance, provisional 2025 budget execution"
Financial operations,0.0412,0.1,"Ministry of Finance, provisional 2025 budget execution"
